key,value
munchery.com,45.200.128.229
flipkart.com,163.53.76.86
deliveroo.com,146.61.103.169
holachef.com,78.163.21.111
eat24.com,174.3.18.229
freshmenu.com,246.29.188.45
codechef.com,102.241.206.125
leetcode.com,37.190.139.106
hackerrank.com,116.138.166.111
iplt20.com,118.220.66.79
jbu.edu,71.126.21.174
lyon.edu,19.142.106.68
midsouthcc.edu,44.239.250.240
northark.edu,110.1.54.162
nwacc.edu,19.53.82.163
nwti.edu,242.22.145.30
obu.edu,99.126.17.4
ozarks.edu,216.67.78.146
pccua.edu,154.149.192.67
pulaskitech.edu,3.42.66.163
mapngdcnoaa.org,50.246.155.61
deocolumbia.org,197.217.198.183
nsdlsdsc.org,60.6.221.150
igutexas.org,253.96.170.9
mbdata.org,190.175.176.255
itc.org,26.49.168.179
idb.org,165.71.138.3
oecd.org,15.206.151.97
osce.org,94.122.185.233
oic.org,139.73.219.181
cpqgwklxvf.net,83.66.119.60
iluhsulryj.net,122.45.3.161
opigokopuq.net,141.62.21.72
nvvgtkrull.net,104.239.95.63
zmdacwcbtv.net,107.28.181.29
ncajpeqcpx.net,106.235.114.210
ladiamiiyr.net,32.66.118.67
obccvqswai.net,76.75.180.13
ksyavhnyvb.net,126.100.112.36
hryptmnaak.net,83.34.10.194
wrwggudtyl.in,118.215.141.210
zkistmbuus.in,37.54.236.234
vlqaixdgzz.in,67.94.152.33
hgdfsmmgzd.in,95.203.166.115
qvthxlxcly.in,40.98.182.105
eqgnmfggdl.in,138.174.107.250
efizlijtpv.in,187.46.178.51
rbptxxfjvi.in,0.69.160.99
mlodjvncda.in,32.186.221.55
drbjgwwnww.in,223.61.141.255
