key,value
fb.com,facebook.com
eb.com,ebay.com
am.com,amazon.com
amazon.com,{jobs:{cs:{cpu:{1}?alu:{2}?Default:{1}?}?it:{3}?hw:{ssd:{4}?Default:{1}?}?Default:{1}?}?products:{2}?trips:{3}?Default:{1}?}
cb.com,cricbuzz.com
ht.com,hotstar.com
pm.com,primevideo.com
ibb.com,ibm.com
hpe.com,hp.com
int.com,intel.com
xe.com,xerox.com
facebook.com,1
ebay.com,1
cricbuzz.com,1
hotstar.com,1
primevideo.com,1
ibm.com,1
hp.com,1
intel.com,1
xerox.com,1
siemens.com,2
adobe.com,2
amd.com,2
cgi.com,2
capgemini.com,2
cognizant.com,2
rajithshetty.com,2
whatalife.com,2
makemytrip.com,2
plusplus.com,2
twitter.com,3
ravivermaclinic.com,3
instagram.com,3
rajaboy.com,3
viratvihar.com,3
setthegoal.com,3
vvjayavihar.com,3
zomato.com,3
swiggy.com,3
foodora.com,3
ubereats.com,4
doordash.com,4
intenshala.com,4
rakthacharitra.com,4
jaisimha.com,4
akhanda.com,4
taggedhele.com,4
caviar.com,4
snapfinger.com,4
faasos.com,4
munchery.com,5
flipkart.com,5
deliveroo.com,5
holachef.com,5
eat24.com,5
freshmenu.com,5
codechef.com,5
leetcode.com,5
hackerrank.com,5
iplt20.com,5
bankofamerica.com,1
wellsfargo.com,1
citi.com,1
playstation.com,1
onlinesbi.com,3
