key,value
tri.in,trivago.in
red.in,redbus.in
npt.in,nptel.ac
vyj.in,vyjayanthi.in
gun.in,guna.in
cri.in,criccbuzz.in
esp.in,espinfo.in
son.in,sonyliv.in
pri.in,primevedio.in
covi.in,covid.in
trivago.in,1
redbus.in,1
nptel.ac,1
vyjayanthi.in,1
guna.in,1
criccbuzz.in,1
espinfo.in,1
sonyliv.in,1
primevedio.in,1
covid.in,1
mtqbdzdcuv.in,2
ydwzvcypnq.in,2
lrefwgacoj.in,2
knvklaooby.in,2
huxziyypge.in,2
xnltsykjhq.in,2
kdlfpcqtmy.in,2
rxzosmudji.in,2
sggqvoexhw.in,2
tvtwrpxytj.in,2
mdodthhvpk.in,3
ytjgzymnwn.in,3
hsootkuohe.in,3
abxmlcddop.in,3
zpnzohahth.in,3
mfzwrjsczl.in,3
yvfyervdju.in,3
xrsyvhfqql.in,3
mfqbrnjrnx.in,3
rjlcxmqwpo.in,3
oldlnozejf.in,4
vdadweqlwf.in,4
jgngzqmnyb.in,4
zzajrahmur.in,4
lyvhnwrqgv.in,4
wjljjbodth.in,4
uvivcriooh.in,4
ajrmgxbqyr.in,4
vazqbqpojw.in,4
eosmsrkxgx.in,4
wrwggudtyl.in,5
zkistmbuus.in,5
vlqaixdgzz.in,5
hgdfsmmgzd.in,5
qvthxlxcly.in,5
eqgnmfggdl.in,5
efizlijtpv.in,5
rbptxxfjvi.in,5
mlodjvncda.in,5
drbjgwwnww.in,5
