key,value
im.org,imo.org
unsco.org,unesco.org
iocun.org,ioc-unesco.org
geb.org,gebco.org
ngdc.org,ngdcnoaa.org
cc.org,ccop.org
ics.org,icsu.org
igu.org,igu-net.org
geog.org,geogumontreal.org
iugg.org,iugg.org
imo.org,1
unesco.org,1
ioc-unesco.org,1
gebco.org,1
ngdc.noaa.org,1
ccop.org,1
icsu.org,1
igu-net.org,1
geogumontreal.org,1
iugg.org,1
iag-aig.org,2
comunidadandina.org,2
iugs.org,2
fig.org,2
ien.org,2
abdnac.org,2
iho-ohi.org,2
ngdcnoaa.org,2
gmatuns.org,2
isprs.org,2
arcticportal.org,3
scar.org,3
scor-int.org,3
icsu-fags.org,3
geodesieird.org,3
igscbjplnasa.org,3
ngdcnoaa.org,3
ngdcnoaa.org,3
sclilpgfz-potsdam.org,3
sopac.org,4
bsh.org,4
bgrbund.org,4
continentalshelf.org,4
aii.org,4
ifremer.org,4
jamstecgo.org,4
catsu-strasbg.org,4
marine-geo.org,4
ngdcnoaa.org,4
mapngdcnoaa.org,5
deocolumbia.org,5
nsdlsdsc.org,5
igutexas.org,5
mbdata.org,5
itc.org,5
idb.org,5
oecd.org,5
osce.org,5
oic.org,5
